chunk_index,token_density,heading_depth,neighbor_overlap,source_file,page
146,394,0,0.36507936507936506,unknown,-1
147,256,0,0.2610619469026549,unknown,-1
148,381,0,0.20257234726688103,unknown,-1
149,709,0,0.3560371517027864,unknown,-1
150,665,0,0.2722371967654987,unknown,-1
151,676,0,0.2048780487804878,unknown,-1
152,668,0,0.26666666666666666,unknown,-1
153,600,0,0.35777126099706746,unknown,-1
154,678,0,0.30659025787965616,unknown,-1
155,639,0,0.19505494505494506,unknown,-1
156,554,0,0.27002967359050445,unknown,-1
157,494,0,0.30363036303630364,unknown,-1
158,439,0,0.30944625407166126,unknown,-1
159,521,0,0.29372937293729373,unknown,-1
160,442,0,0.31690140845070425,unknown,-1
161,440,0,0.28,unknown,-1
162,315,0,0.22267206477732793,unknown,-1
163,436,0,0.332089552238806,unknown,-1
164,478,0,0.34551495016611294,unknown,-1
165,611,0,0.3181818181818182,unknown,-1
166,473,0,0.23893805309734514,unknown,-1
167,638,0,0.2958579881656805,unknown,-1
168,512,0,0.30844155844155846,unknown,-1
169,542,0,0.32280701754385965,unknown,-1
170,405,0,0.3277027027027027,unknown,-1
171,438,0,0.2807570977917981,unknown,-1
172,532,0,0.24537037037037038,unknown,-1
173,109,0,0.23529411764705882,unknown,-1
174,475,0,0.2936802973977695,unknown,-1
175,451,0,0.3958333333333333,unknown,-1
176,354,0,0.4622222222222222,unknown,-1
177,388,0,0.2467948717948718,unknown,-1
178,637,0,0.2197452229299363,unknown,-1
179,417,0,0.22529644268774704,unknown,-1
180,360,0,0.35714285714285715,unknown,-1
181,376,0,0.2148997134670487,unknown,-1
182,723,0,0.28955223880597014,unknown,-1
183,570,0,0.264026402640264,unknown,-1
184,480,0,0.40892193308550184,unknown,-1
185,560,0,0.2911392405063291,unknown,-1
186,559,0,0.23822714681440443,unknown,-1
187,638,0,0.3008849557522124,unknown,-1
188,611,0,0.23006134969325154,unknown,-1
189,639,0,0.2702702702702703,unknown,-1
190,561,0,0.315625,unknown,-1
191,543,0,0.4128787878787879,unknown,-1
192,636,0,0.456,unknown,-1
193,556,0,0.5108225108225108,unknown,-1
194,539,0,0.19463087248322147,unknown,-1
195,530,0,0.2624113475177305,unknown,-1
196,482,0,0.22611464968152867,unknown,-1
197,500,0,0.2185792349726776,unknown,-1
198,543,0,0.259946949602122,unknown,-1
199,624,0,0.25,unknown,-1
200,589,0,0.18674698795180722,unknown,-1
201,584,0,0.17073170731707318,unknown,-1
202,435,0,0.2594142259414226,unknown,-1
203,595,0,0.3047945205479452,unknown,-1
204,578,0,0.1962025316455696,unknown,-1
205,539,0,0.2746268656716418,unknown,-1
206,507,0,0.28448275862068967,unknown,-1
207,545,0,0.2396694214876033,unknown,-1
